,id,size
335,136268618,858
336,139600370,1018.2
337,139866236,545
338,139735301,1595
339,139660838,761
340,139789859,786
341,139833266,570
342,139124375,654
343,131777195,667.36
344,139685585,583
345,139740047,825
346,139586447,370
347,139560806,876
348,139983809,827
349,136391633,373
350,136345871,112.9
351,139776158,512
352,139792784,900
353,138417035,587
354,138284945,517
355,138530273,745.9
356,139689005,542
357,139780181,507
358,136868684,64
359,139528265,713
360,136775957,543
361,138908666,844
362,139624058,
363,137920670,
364,138610661,619
365,86225511,500
366,138438632,836
367,139545350,492
368,139975799,489
369,138722888,714.7
370,138510161,661
371,139675841,864
372,139738454,916
373,136355207,8303
374,139559120,1225
375,138087956,848
376,139843376,585
377,139600685,
378,139719941,810
379,139801061,1457
380,136192586,580
381,139818521,484
382,139528703,709
383,139942457,710
384,136125719,
385,134568278,868.6
386,139678979,
387,130474475,543
388,139642073,1016
389,139262618,452
390,139964630,1216
391,123288368,546
392,137005433,
393,139563119,375
394,139658183,742
395,136292897,1875
396,139831166,552
397,139654736,753.4
398,137822909,463
399,139711421,859
400,139797734,2050
401,139584362,1057
402,138048707,1103
403,139844237,760
404,139832009,2465
405,139705049,567
406,139693916,511
407,139981805,678
408,139739051,824.9
409,139796561,721.2
410,138024185,528
411,138187292,678.1
412,138358451,680
413,139691426,1371
414,139687832,879.4
415,139570151,892
416,139793720,467
417,139486595,638
418,139849169,823
419,139545353,857
420,139859582,783
421,137325902,689
422,135944060,767
423,139723121,1512
424,139660895,997
425,139941452,
426,139970093,654
427,136575806,564
428,139702622,602
429,139912706,430
430,139662518,606
431,136127705,1940
432,137911298,682
433,139785065,1353
434,128398718,
435,139807820,639
436,139080134,635
437,139937705,1100
438,139970150,775.00
439,139052789,711.5
440,139568276,678
441,139662521,459
442,139848545,1478
443,139616093,930
444,139902239,737.2
445,139858043,469
446,86145465,607.4
447,139545071,382
448,137944157,1113
449,134751305,471
450,138805871,968.7
451,139576190,696
452,136923746,1003
453,137491856,718
454,139914461,422
455,138994463,659.82
456,139046099,461
457,139706333,663
458,137647595,705
459,135763544,422
460,139778645,652
461,137603954,
462,139158434,4685
463,138074192,1926
464,100506851,628
465,139704305,500
466,139612595,1538
467,139075529,452
468,139857974,1786
469,139799930,730
470,139655513,722
471,139789109,496
472,139385555,725.4
473,139820876,840
474,139707404,350.9
475,136861379,1047
476,139926026,447
477,139611761,829
478,134117966,514
479,139842794,950
480,139704869,466
481,139966175,583
482,139966928,708
483,139648184,418
484,139855583,462
485,139684256,994
486,138813680,921
487,139771823,2490
488,139801931,1381
489,139968593,1537
490,136701362,513
