,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
10,135277481,"£650,000",Reduced today,"Calmont Road, Bromley, Kent, BR1","GUIDE PRICE £650,000 - £700,000. Let us introduce you to this magnificent, 3 bedroom, extended, 1920's semi-detached home, located nearby to Beckenham Place Park, local shops, Ravensbourne Station & several sought after schools. As you arrive to the property, you'll be greeted by a large driveway,",Semi-Detached,2,3,,Freehold,"[""Magnificent 3-bedroom, extended 1920's semi-detached home."", 'Located nearby to Beckenham Place Park, local shops, Ravensbourne Station & sought-after schools', 'Large driveway and garage providing ample parking space', 'Tastefully extended to the rear, offering a generous amount of living space', 'Ground floor features a spacious dining room, living room, study, utility room, w.c, and modern kitchen/breakfast room', 'Over 1,200 sqft of living space with potential to extend, subject to planning permission', 'Beautiful garden, perfect for relaxation, play, and entertaining', 'Surrounded by an abundance of amenities, including shops, reputable schools & transport links.', 'GUIDE PRICE £650,000 - £700,000', 'Viewings Highly Recommended - WATCH THE VIDEO TOUR, TOO.']","[['Ravensbourne ', '0.4 miles'], ['Shortlands ', '0.9 miles'], ['Beckenham Hill ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
11,137573804,"£375,000",Reduced today,"St Johns Road, Petts Wood, Orpington, BR5","This larger than average purpose built first floor maisonette with garage en-bloc is located on the east side of Petts Wood within close walking distance of the town for an array of independent shops, deli's for organic produce, a range of cafes and restaurants and a selection of supermarkets....",Maisonette,1,2,,Leasehold,"['First Floor Maisonette', 'Lease 189 years from 2007', 'Two Double Bedrooms', 'Spacious Lounge', 'Private Gardens', 'Own Driveway', 'Garage En-Bloc', 'Double Glazing', 'Ideal For Mainline & Shops', 'Chain Free Availability']","[['Petts Wood ', '0.3 miles'], ['Orpington ', '1.0 miles'], ['St. Mary Cray ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
12,136880681,"£450,000",Reduced today,"Rodway Road, Bromley, BR1","This lovely 2 bedroom ground floor apartment is located in this beautiful Victorian House that has been converted into residential flats.Location wise it's perfect for someone wanting to commute from Bromley North Station, Bromley South, Sundridge Park and Elmstead Woods. Bromley High S...",Ground Flat,2,2,,Leasehold,[],"[['Sundridge Park ', '0.2 miles'], ['Bromley North ', '0.2 miles'], ['Bromley South ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
13,86311392,"£325,000",Added today,"Kendale Road, BROMLEY, Kent, BR1","*GUIDE PRICE £325,000 - £350,000* IDEAL FOR FIRST TIME BUYERS OR INVESTORS! Welcomed to the market is this impressively sized three bedroom split level MAISONETTE. It comes complete with your very own front door, private garden and sold with no onward chain. The loving fami...",End of Terrace,1,3,,Ask agent,"['* Private front and rear garden – perfect for entertaining', '* Three well sized bedrooms', '* Well presented throughout', '* Nearby to local amenities', '* Sought after location – quiet and residential', '* Ample storage throughout', '* Reputable local schooling nearby', '* Ideal for commuters – Beckenham Hill Station moments away', '* Perfect first time buy or investment purchase', '* Buyers Commission May Be Required']","[['Ravensbourne ', '0.6 miles'], ['Beckenham Hill ', '0.7 miles'], ['Shortlands ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
14,86309844,"£500,000",Added today,"Tetty Way, BROMLEY, BR1","Guide Price between £500,000 - £525,000An impressive penthouse apartment set in the very heart of Bromley town centre with west facing aspect and far reaching views as well as easy access to the wide variety of shops, bars and The Glades Shopping Centre. Offered for sale wit...",Penthouse,2,2,,Leasehold,"['2 Double Bedrooms', '2 Bathrooms', 'Secure Underground Parking', 'No Onward Chain', 'Lift']","[['Bromley North ', '0.3 miles'], ['Bromley South ', '0.4 miles'], ['Shortlands ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D
15,86309613,"£475,000",Added today,"Chelsfield Road, Orpington, Kent, BR5","** GUIDE PRICE £475,000 - £485,000 ** An opportunity to purchase this three/four bedroom link detached house situated close to Orpington Town Centre. The property benefits from a ground floor cloakroom and potential to extend (STPP). * CENTRAL HEATING & DOUBLE GLAZING * TWO R...",Link Detached House,1,4,,Freehold,"['Central Heating & Double Glazing', 'Two Reception Rooms', 'Ground Floor 4th Bedroom/Study', 'First Floor Family Bathroom', 'Well Located For St Mary Cray Station', 'Driveway Parking']","[['St. Mary Cray ', '0.7 miles'], ['Orpington ', '1.4 miles'], ['Petts Wood ', '1.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
16,133744004,"£400,000",Reduced today,"Croxley Close, Orpington","Guide price: £400,000 - £425,000 This well presented semi-detached house conveniently situated close to transport links, local shops and schools. The accommodation comprises a living room with cast iron fireplace, modern kitchen/diner which overlooks the rear garden. To...",End of Terrace,1,3,,Freehold,[],"[['St. Mary Cray ', '0.7 miles'], ['Petts Wood ', '1.8 miles'], ['Sidcup ', '2.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
17,136934495,"£570,000",Reduced today,"Broomhill Road, Orpington, BR6","If you are looking for a tradtional build semi with the wow factor and modern features then look no further. This fully refurbished 3 double bedroom semi-detached house is ideally situated moments from vibrant Orpington High Street and a 15 minute walk from Orpington Station, which has high speed...",Semi-Detached,1,3,,Freehold,"['Newly renovated', 'downstairs WC', 'spacious kitchen diner', 'french doors to rear garden', 'garage', 'three double bedrooms', 'family bathroom', 'two reception rooms', 'double glazing', 'close to local amenities']","[['Orpington ', '0.7 miles'], ['St. Mary Cray ', '1.1 miles'], ['Petts Wood ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
18,140079206,"£450,000",Added today,"Bowden Court,  White Horse Hill, Chislehurst","Being Sold via Secure Sale online bidding. Terms & Conditions apply. Starting Bid £450,000 A stunning two double bedroom, two bathroom first floor apartment built in 2017. ",Apartment,2,2,,Leasehold,[],"[['Elmstead Woods ', '0.8 miles'], ['New Eltham ', '1.1 miles'], ['Chislehurst ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£300 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£4000,110 years left,Ask agent
19,140077709,"£300,000",Added yesterday,"Sandpiper Way, Orpington","GUIDE PRICE £300,000 to £325,000 Situated in a popular residential road is this well-presented, two bedroom 'back to back' end of terrace house. The property is built on a modern development offering access to St Mary Cray and Orpington stations, each providing excellent links into Centr...",End of Terrace,1,2,,Ask agent,"['Two bedrooms', 'Off street parking', 'Access to Orpington & St Mary Cray mainline stations', 'Ideal for first time buyers and investors']","[['St. Mary Cray ', '0.8 miles'], ['Orpington ', '2.2 miles'], ['Petts Wood ', '2.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
