,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
615,139591124,"£425,000",Reduced on 06/09/2023,"Melrose Road, London","A charming mid-century split-level maisonette, arranged over the first and second floors, in this excellent location between Putney and Southfields. Offered to the market with the benefit of no onward chain and a share of freehold, the property is bright and airy, with two spacious double bedroo...",Maisonette,1,2,755 sq. ft.(70 sq. m.),Share of Freehold,"['Share of freehold', 'Split-level maisonette', 'Own front door', 'Two double bedrooms', 'Excellent location', '755 sq. ft.']","[['Southfields ', '0.5 miles'], ['East Putney ', '0.6 miles'], ['Putney ', '0.8 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,999 years left,Band: D
616,137700920,"£515,000",Reduced on 06/09/2023,"Scott Avenue, Putney","An outstanding 804 sq ft two bedroom second floor apartment for sale, boasting residents access to gym, library and private underground parking, all set within impeccable grounds.
",Flat,1,2,,Leasehold,"['Two double bedrooms', '19\'9"" Reception room', 'Kitchen-diner', 'Two bathrooms', 'Balcony & shared garden', 'Lift & parking space', 'EPC Rating B']","[['East Putney ', '0.5 miles'], ['Southfields ', '0.5 miles'], ['Putney ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
617,139590851,"£1,875,000",Added on 06/09/2023,"Cromwell Road, Wimbledon, SW19",A beautifully presented double-fronted Victorian family house situated in a quiet and popular residential road within a short walk of local shops and eateries and within easy reach of Wimbledon town centre and transport,Semi-Detached,3,5,,Freehold,"['Double Reception Room', 'Study', 'Kitchen/Dining Room', 'Utility Room & Cloakroom', 'Main Bedroom Suite with e/s shower room', '4 further Bedrooms', '2 further Bath/shower rooms (1 e/s)', 'Garden With Garden Pod and Fireplace']","[['Haydons Road ', '0.3 miles'], ['Wimbledon ', '0.6 miles'], ['Wimbledon Park ', '0.6 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: F
618,136021301,"£700,000",Added on 12/06/2023,"Monkleigh Road, Morden","Superb four bedroom, two bathroom end of terrace family home, located in sought after quiet residential road with excellent schools and transport links close by. Being sold with no ongoing chain , off street parking to the front and lovely large private West facing garden with garage to the rear...",End of Terrace,2,4,,Freehold,"['End Of Terrace house', 'Four bedrooms', 'Open plan kitchen/dining room', 'Garage And Parking', 'Master Bedroom With En-suite', 'Large West Facing Garden', 'EPC Rating - D', 'Merton Council Tax Band - E', 'No Onward Chain']","[['South Merton ', '0.3 miles'], ['Wimbledon Chase ', '0.6 miles'], ['Morden South ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
619,139589303,"£925,000",Added on 06/09/2023,"Bellew Street, Tooting","A stunning example of a three bedroom, mid terrace, Victorian family home with landscaped garden. Accommodation comprises: an entrance hall, reception room with feature wood burning stove, a second reception area being used as a dining room or could be used as a children's playroom, a spacious k...",House,1,3,,Freehold,"['Victorian Terraced House', 'Three Bedrooms', 'Private Garden', 'Scope to extend', 'Excellent Condition', 'Sought After Location']","[['Haydons Road ', '0.6 miles'], ['Earlsfield ', '0.6 miles'], ['Tooting Broadway ', '0.8 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
620,139588946,"£500,000",Added on 06/09/2023,"Rowfant Road, Balham, London, SW17","A high-quality, recently refurbished split-level apartment positioned over the top floors of this Victorian conversion, situated within the sought-after Boundaries Triangle area of Balham. NO CHAIN. ",Apartment,1,1,,Share of Freehold,"['One double bedroom', 'Office / sleeping area', 'Near Wandsworth Common', 'Bright and airy interior']","[['Balham ', '0.2 miles'], ['Tooting Bec ', '0.4 miles'], ['Wandsworth Common ', '0.4 miles']]","['nationalrail', 'underground', 'nationalrail']",£0 per year,£0,991 years left,Band: C
621,139588871,"£350,000",Added on 06/09/2023,"Merton Road, London","Located on the outskirts of Southfields is this well proportioned period apartment, with great natural light and providing in excess of 600 Sq Ft of accommodation. Centrally situated there are a wide array of artisan shops on your doorstep as well as great transport links from both Southfields an...",Flat,1,1,614 sq. ft.(57 sq. m.),Leasehold,"['Second Floor Split Level Period Apartment', 'Over 600 Sq Ft of Accommodation', 'Sitting/Dining Room', 'Double Bedroom', 'Fitted Kitchen and bathroom', 'No Onward Chain']","[['Southfields ', '0.5 miles'], ['Earlsfield ', '0.8 miles'], ['East Putney ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,119 years left,Band: C
622,136980449,"£975,000",Reduced on 06/09/2023,"Bewley Street, London, SW19","Winkworth Wimbledon are delighted to present this beautifully presented three bedroom modern family home offering over 1100 square feet of living space in a sought after development and in the catchment area for a number of Ofsted Outstanding and Good schools including Garfield Primary School, Al...",End of Terrace,2,3,,Freehold,"['Fantastic 3 Bedroom Family Home', 'South West Facing Private Garden', 'Quiet Cul-de-Sac', 'Allocated Off Street Parking Space', 'Garden Studio', 'Close to the Wandle Park', 'EPC Rating C', 'Council Tax Band D']","[['Colliers Wood ', '0.2 miles'], ['Haydons Road ', '0.5 miles'], ['South Wimbledon ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D
623,138277643,"£650,000",Added on 04/08/2023,"Parkleigh Road, Merton Park",Superb three double bedroom two bathroom terraced house with South facing private garden. Set in a quiet location near to South Wimbledon Tube station and Tram Link to central Wimbledon. This lovely property is well presented through out with a kitchen breakfast room and a spacious loft conversa...,House,2,3,,Freehold,"['Three Bedroom House', 'Master Bedroom With En-Suite', 'South Facing Garden', 'Well Presented Through Out', 'Near To The Northern Line Tube', 'Kitchen Breakfast Room', 'Merton Council Tax Band - D', 'EPC Rating - C']","[['Morden Road Tram Stop0.1 miles'], ['South Wimbledon ', '0.4 miles'], ['Merton Park Tram Stop0.4 miles']]","['tramlink', 'underground', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
624,139587788,"£485,000",Added on 06/09/2023,"Coteford Street, Tooting","A charming and characterful two bedroom freehold house set in the highly desirable Totterdown Fields Conservation Area in exacting condition throughout with a generous garden and scope for further extensions (STPP). The property offers a front reception, separate kitchen, two bedrooms and a three...",Terraced,1,2,,Freehold,"['Two Bedrooms', 'Private Garden', 'Scope for Alterations (STPP)', 'Period Features', 'Blank Canvas', 'Desirable Location']","[['Tooting Broadway ', '0.4 miles'], ['Tooting Bec ', '0.4 miles'], ['Tooting ', '0.7 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
625,136036841,"£450,000",Reduced on 06/07/2023,"Iron Mill Road, London","A well-presented and spacious, three bedroom flat arranged on the ground floor of this purpose built development, with private sunny garden.",Apartment,1,3,,Leasehold,"['Three Bedroom, Ground Floor Apartment', 'Spacious Accommodation', 'Stylish & Contemporary Decor', 'Private South West Facing rear Garden', 'Next to Southside Shopping Centre']","[['Wandsworth Town ', '0.5 miles'], ['Earlsfield ', '0.8 miles'], ['Southfields ', '0.9 miles']]","['nationalrail', 'nationalrail', 'underground']",£1 per year,£1000,88 years left,Band: C
626,139587746,"£1,250,000",Added on 06/09/2023,"Brookwood Road, London","A stylish four-bedroom family home, with a secluded south-facing garden on the sought-after Southfields Grid, within easy reach of the shops, cafes and restaurants of Southfields village centre and District Line underground station. Beautifully presented throughout, the house offers a considered...",House,2,4,"1,456 sq. ft.(135 sq. m.)",Freehold,"['Southfields Grid location', 'South-facing garden', 'Beautifully presented', 'Extended kitchen', 'Utility room']","[['Southfields ', '0.3 miles'], ['Earlsfield ', '0.6 miles'], ['Wimbledon Park ', '0.7 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: F
