,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
484,139645493,"£400,000",Added on 07/09/2023,"Cavendish Way, West Wickham","Situated in central West Wickham close to High St, station, schools & all local amenities, is this beautiful two bedroom ground floor maisonette with lovely sunny garden, garage & long lease",Maisonette,1,2,,Leasehold,"['Ground floor maisonette', 'Two bedrooms ', 'Large lounge ', 'Modern kitchen & bathroom', 'Secluded private garden', 'Garage', 'Long lease', 'EPC rating D']","[['West Wickham ', '0.5 miles'], ['Eden Park ', '0.8 miles'], ['Hayes ', '1.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
485,133213865,"£200,000",Reduced on 07/09/2023,"London Road, Thornton Heath, Greater London, CR7 6JD","Boasting two generous double bedrooms with built-in storage space, this flat is perfect for anyone who needs extra room. The separate kitchen is well-equipped and perfect for preparing delicious meals, while the reception room provides plenty of room for entertaining or relaxing after a long ...",Flat,1,2,,Leasehold,"['Being Sold via Secure Sale online bidding. Terms and Conditions apply.', 'Two Double Bedrooms', 'Gas Central Heating', 'Communal Garden', 'Built-in Storage']","[['Thornton Heath ', '0.8 miles'], ['Therapia Lane Tram Stop0.8 miles'], ['Ampere Way Tram Stop0.9 miles']]","['nationalrail', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: B
486,139639631,"£375,000",Added on 07/09/2023,"Bredon Road, Croydon","Marriott Vernon welcome to the market an attractive two bedroom mid terrace house on a popular residential road which benefits from a southerly aspect rear garden. The accommodation comprises entrance hall, living room and an open plan kitchen/reception room leading into a lean to with...",Terraced,1,2,,Freehold,[],"[['Blackhorse Lane Tram Stop0.4 miles'], ['Addiscombe Tram Stop0.4 miles'], ['Woodside Tram Stop0.6 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: C
487,139639070,"£515,000",Added on 07/09/2023,"Westwood Hill, London, SE26","Situated on Westwood Hill, in a beautiful detached Victorian home the property is full of period charm. The property comprises; two bedrooms, large reception/dining room, bathroom, kitchen, and terrace. The property benefits from features such as shaker kitchen and metro tiled bathroom. There is ...",Apartment,1,2,,Share of Freehold,"['Two bedrooms', 'Private terrace/ garden', 'On-street free parking', 'High ceilings', 'Great condition', 'Close to local amenities and transport links', 'Council tax band C', 'Share of Freehold', 'Service charges - £100 per month', 'EPC rating E']","[['Sydenham ', '0.6 miles'], ['Crystal Palace ', '0.6 miles'], ['Penge West ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC
488,139638695,"£475,000",Added on 07/09/2023,"Belvedere Road, Crystal Palace","Guide price £475,000 to £500,000. Set on one of SE19's most prestigious roads moments from the amenities of the Crystal Palace Triangle, excellent transport links and Crystal Palace Park is this truly stunning two bedroom Victorian conversion flat. This beautiful home is presented in immaculate c...",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Immaculate condition', 'Sought after location', 'Sash windows', 'A plethora of natural light', 'Open plan living space', '603 sq ft / 56 sqm', 'EPC rating C']","[['Crystal Palace ', '0.2 miles'], ['Anerley ', '0.5 miles'], ['Penge West ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
489,138478181,"£450,000",Reduced on 07/09/2023,"Marlow Road, Anerley",Kinleigh Folkard & Hayward present this charming period maisonette in good condition. Locate close by to Birkbeck Station & Anerley overground. Inclusive of a private garden this would be ideal choice for any first time buyer or downsizer.,Flat,1,2,,Leasehold,"['First floor maisonette', 'Private garden', 'Very large property', 'Near Birkbeck Station', 'Near Anerley overground', 'Period property', 'Close to amenities', 'EPC Rating C']","[['Birkbeck ', '0.1 miles'], ['Harrington Rd Tram Stop0.3 miles'], ['Avenue Road Tram Stop0.5 miles']]","['nationalrail', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
490,139637990,"£349,000",Added on 07/09/2023,"Nottingham Road, SOUTH CROYDON, Surrey, CR2","TWO DOUBLE BEDROOM APARTMENT LOCATED IN THE HEART OF SOUTH CROYDON - SECURE GATED PARKING! TENANT IN SITU! The property is conveniently situated opposite the playing fields of Whitgift School yet within close proximity of South Croydon with its shops, restaurants and main line railway ...",Apartment,2,2,,Leasehold,"['-Investors only', '-Gated parking with allocated space & visitor parking', '-Two good size bedrooms', '-Bathroom & en-suite shower room', '-Ample storage throughout', '-Close to South Croydon train station', '-Buyers Commission May Be Required']","[['South Croydon ', '0.3 miles'], ['Waddon ', '0.8 miles'], ['George Street Tram Stop0.8 miles']]","['nationalrail', 'nationalrail', 'tramlink']",£150 per year,£1623.98,104 years left,Band: C
491,137679686,"£280,000",Reduced on 07/09/2023,"Leigham Close, Streatham Hill, London, SW16","Well located for transport and amenities, this wonderful 1 bedroom 1st floor flat is presented to high standards throughout, offering ample living space, quality fixtures, communal garden and off-street parking.",Flat,1,1,496 sq. ft.(46 sq. m.),Share of Freehold,"['Delightful 1 bedroom 1st floor flat', 'Separate kitchen', 'Spacious reception room', 'Generous double bedroom', 'Communal garden', 'Off-street parking', 'Well-located for transport links']","[['West Norwood ', '0.6 miles'], ['Streatham Hill ', '0.6 miles'], ['Streatham ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,987 years left,Ask agent
492,136684973,"£695,000",Reduced on 07/09/2023,"Hampden Avenue, Beckenham, BR3","Proctors, Beckenham High Street Office, are pleased to offer this great end-of-terrace home which, having been lovingly cared for over many years by the same family, by todays standards, now requires modernisation. Situated just round the corner from Balgowan Primary School and occupying a qui...",End of Terrace,1,3,,Freehold,"['End of terrace house', 'Gas central heating', 'Three bedrooms', 'Double garage and garden', 'Two receptions plus a sun lounge', 'Requires modernisation', 'Chain Free and great location', 'Near to Balgowan Primary School']","[['Clock House ', '0.2 miles'], ['Beckenham Road Tram Stop0.3 miles'], ['Avenue Road Tram Stop0.5 miles']]","['nationalrail', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: D
493,139637150,"£400,000",Added on 07/09/2023,"St. Arvans Close, Croydon","Marriott Vernon present to the market this three bedroom mid terrace house situate within a peaceful close on the popular Park Hill development in East Croydon. The accommodation briefly comprises entrance hall, kitchen and a spacious 12'8x18'10 reception room with patio doors onto the ...",Terraced,1,3,,Freehold,"['Three Bedroom Mid Terrace House', 'Sought After Location In Park Hill', 'Private Rear Garden', 'Garage En-Bloc', 'Just Over 1/2 A Mile Of East Croydon Station', 'No Onward Chain']","[['Lebanon Road Tram Stop0.3 miles'], ['Sandilands Tram Stop0.3 miles'], ['East Croydon ', '0.4 miles']]","['tramlink', 'tramlink', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
