,id,price,price_change_date,price_change_value
100,140972249,"£400,000",['17/10/2023'],"['Initial entry found: £400,000']"
101,131258228,"£450,000",['31/01/2023'],"['Initial entry found: £450,000']"
102,135734588,"£450,000",['05/06/2023'],"['Initial entry found: £450,000']"
103,131536832,"£450,000",['09/02/2023'],"['Initial entry found: £450,000']"
104,135734591,"£450,000",['05/06/2023'],"['Initial entry found: £450,000']"
105,136593089,"£450,000","['14/10/2023', '09/09/2023', '26/06/2023']","['Price changed from £495,000 to £450,000', 'Price changed from £525,000 to £495,000', 'Initial entry found: £525,000']"
106,141175460,"£450,000",['23/10/2023'],"['Initial entry found: £450,000']"
107,82160757,"£450,000",['21/10/2021'],"['Initial entry found: £450,000']"
108,139688327,"£449,950","['26/09/2023', '08/09/2023']","['Price changed from £475,000 to £449,950', 'Initial entry found: £475,000']"
109,139791947,"£449,500",['11/09/2023'],"['Initial entry found: £449,500']"
110,132242660,"£449,000","['17/05/2023', '01/04/2023', '04/03/2023']","['Price changed from £455,000 to £449,000', 'Price changed from £475,000 to £455,000', 'Initial entry found: £475,000']"
111,133493819,"£435,000",['11/04/2023'],"['Initial entry found: £435,000']"
112,131723963,"£435,000",['15/02/2023'],"['Initial entry found: £435,000']"
113,137937830,"£430,000","['04/09/2023', '27/07/2023']","['Price changed from £450,000 to £430,000', 'Initial entry found: £450,000']"
114,139190243,"£430,000",['29/08/2023'],"['Initial entry found: £430,000']"
115,138851588,"£430,000","['04/09/2023', '19/08/2023']","['Price changed from £450,000 to £430,000', 'Initial entry found: £450,000']"
116,131130560,"£425,000",['27/01/2023'],"['Initial entry found: £425,000']"
117,138105521,"£425,000","['18/09/2023', '31/07/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
118,136008125,"£425,000",['12/06/2023'],"['Initial entry found: £425,000']"
119,131936549,"£425,000",['23/02/2023'],"['Initial entry found: £425,000']"
120,135344270,"£425,000","['21/07/2023', '30/06/2023', '26/05/2023']","['Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
121,132438293,"£425,000","['25/05/2023', '10/03/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
122,83624142,"£425,000",['29/01/2022'],"['Initial entry found: £425,000']"
123,140955110,"£425,000",['17/10/2023'],"['Initial entry found: £425,000']"
124,131864798,"£425,000","['12/04/2023', '21/02/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
125,135177365,"£425,000",['23/05/2023'],"['Initial entry found: £425,000']"
126,135803183,"£425,000","['13/06/2023', '07/06/2023']","['Price changed from £435,000 to £425,000', 'Initial entry found: £435,000']"
127,137228114,"£425,000","['01/09/2023', '12/07/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
128,139497491,"£420,000",['05/09/2023'],"['Initial entry found: £420,000']"
129,132566921,"£420,000","['15/06/2023', '14/03/2023']","['Price changed from £445,000 to £420,000', 'Initial entry found: £445,000']"
130,131700677,"£419,950",['15/02/2023'],"['Initial entry found: £419,950']"
131,140932247,"£415,000","['23/10/2023', '16/10/2023']","['Price changed from £449,950 to £415,000', 'Initial entry found: £449,950']"
132,140549693,"£415,000",['28/09/2023'],"['Initial entry found: £415,000']"
133,133510196,"£415,000",['12/04/2023'],"['Initial entry found: £415,000']"
134,86346342,"£410,000",['06/10/2023'],"['Initial entry found: £410,000']"
135,139508966,"£400,000",['05/09/2023'],"['Initial entry found: £400,000']"
136,86170101,"£400,000","['04/09/2023', '15/06/2023']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
137,136140047,"£400,000","['14/08/2023', '15/06/2023']","['Price changed from £450,000 to £400,000', 'Initial entry found: £450,000']"
138,136112261,"£400,000",['15/06/2023'],"['Initial entry found: £400,000']"
139,140972249,"£400,000",['17/10/2023'],"['Initial entry found: £400,000']"
140,131941817,"£400,000",['25/02/2023'],"['Initial entry found: £400,000']"
141,133156799,"£400,000","['22/05/2023', '31/03/2023']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
142,139506452,"£400,000","['09/10/2023', '05/09/2023']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
143,141063356,"£400,000",['19/10/2023'],"['Initial entry found: £400,000']"
144,137845691,"£400,000",['25/07/2023'],"['Initial entry found: £400,000']"
145,132402236,"£400,000","['22/03/2023', '09/03/2023']","['Price changed from £415,000 to £400,000', 'Initial entry found: £415,000']"
146,135099893,"£400,000","['31/07/2023', '19/06/2023', '06/06/2023', '22/05/2023']","['Price changed from £425,000 to £400,000', 'Price changed from £450,000 to £425,000', 'Price changed from £449,950 to £450,000', 'Initial entry found: £449,950']"
147,140143757,"£400,000",['19/09/2023'],"['Initial entry found: £400,000']"
148,128169239,"£400,000","['29/11/2022', '18/10/2022']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
149,86148231,"£400,000",['13/06/2023'],"['Initial entry found: £400,000']"
150,136575914,"£400,000","['20/07/2023', '26/06/2023']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
151,86065638,"£400,000",['28/02/2023'],"['Initial entry found: £400,000']"
152,129804077,"£400,000",['07/12/2022'],"['Initial entry found: £400,000']"
153,135465272,"£400,000","['20/07/2023', '30/05/2023']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
154,141011468,"£400,000","['23/10/2023', '18/10/2023']","['Price changed from £435,000 to £400,000', 'Initial entry found: £435,000']"
155,129672815,"£400,000","['04/01/2023', '02/12/2022']","['Price changed from £425,000 to £400,000', 'Initial entry found: £425,000']"
156,140806556,"£400,000",['04/10/2023'],"['Initial entry found: £400,000']"
157,141175778,"£399,950",['23/10/2023'],"['Initial entry found: £399,950']"
